Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_rel,Pb207Pb206,Pb207Pb206_error_1s_rel,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U,Hf176Hf177,Hf176Hf177_error_1s,Lu176Lu177,Lu176Lu177_error_2s,Yb176Hf177,epsilon_Hf,TDM
340-108,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.493417421,1.165827771,0.099259522,0.765059842,1610.245834,14.2564589,1622.775631,18.42820947,176.8852886,189.5313412,0.28196,0.14098,0.000822,0.000013,,6.21,1.875
340-109,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,2.140564211,1.14226529,0.161689589,0.478412995,2473.405657,8.074543194,2470.477872,30.14827266,171.9262843,303.5837573,0.28134,0.14067,0.000596,0.000015,,3.81,2.691
340-11,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.398751822,1.079449287,0.101865642,0.688114265,1658.390497,12.74334196,1662.611254,17.50127438,76.24287799,203.3098408,0.2818,0.1409,0.00231,0.00011,,-0.06,2.314
340-110,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.742358414,1.068351644,0.098380636,0.488952198,1593.654773,9.131019912,1520.703187,15.73544356,266.5925327,309.3976641,0.28209,0.141045,0.001849,0.000014,,9.36,1.66
340-111,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.15724881,1.688126808,0.108225329,0.60191926,1769.755375,10.9918053,1773.746934,29.31133627,204.5029827,302.7536496,0.28177,0.140885,0.001224,0.0000086,,2.52,2.235
340-113,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.578558023,1.084505442,0.098648036,0.683716025,1598.722001,12.75974874,1587.596496,16.73217335,255.4850938,287.1367834,0.28207,0.141035,0.0015428,0.0000042,,9.09,1.681
340-114,Normington et al 2016,IC13CJE002,-23.9979346,135.36132,Heavitree,3.758758526,1.336484343,0.114816261,0.868887526,1877.002906,15.66058733,1486.18377,19.26936615,1007.657156,519.2759075,,,,,,,
340-115,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.271807619,1.271225478,0.104566744,1.167424317,1706.707905,21.4874448,1719.222864,21.45122849,36.89523528,77.91923584,0.28183,0.140915,0.00084,0.000045,,3.71,2.11
340-116,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.146077751,1.103234049,0.108396496,0.772275921,1772.640735,14.09769118,1779.250595,19.27861178,45.80556678,154.9182079,0.28172,0.14086,0.000646,0.000023,,1.5,2.302
340-117,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.148060212,1.168204788,0.108205621,0.922708662,1769.422785,16.85051941,1778.271386,20.42524269,215.2582472,222.6912809,0.28187,0.140935,0.001436,0.000018,,5.81,2.023
340-118,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.099628333,1.269298499,0.107683046,1.176308636,1760.576998,21.50536899,1802.508348,22.61734362,88.55063421,204.5471646,0.28174,0.14087,0.001589,0.000056,,0.82,2.336
340-119,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,2.923752669,1.028629426,0.115052001,0.467902232,1880.698915,8.429595954,1896.409719,19.28493927,150.5169458,425.630439,0.28182,0.14091,0.00077,0.000014,,7.3,2.013
340-12,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.186381603,1.287786839,0.107157657,0.881720128,1751.630301,16.13763742,1759.553923,22.22584306,131.3951415,143.4156088,0.28161,0.140805,0.000966,0.000033,,-3.25,2.589
340-120,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.195656562,1.055380431,0.10444427,0.557548465,1704.55056,10.26495279,1755.083158,18.18696984,263.3629418,322.2070386,0.28161,0.140805,0.001502,0.000024,,-4.9,2.657
340-13,Normington et al 2016,IC13CJE002,-23.9979346,135.36132,Heavitree,3.879390036,1.474089112,0.108937228,0.876232318,1781.719306,15.97743278,1451.14391,20.71439237,514.5915693,568.4785195,,,,,,,
340-14,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.181950328,1.611184367,0.108681424,0.605969416,1777.431414,11.05525225,1759.85427,27.72946586,83.19295214,292.2595861,0.28164,0.14082,0.000796,0.000019,,-1.41,2.492
340-15,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.791976137,1.256269142,0.094591122,1.176814736,1519.944749,22.19089,1507.875609,18.41325684,85.48557176,170.2066175,0.28216,0.14108,0.0008477,0.0000086,,11.29,1.479
340-16,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.333110289,1.124472925,0.107241943,0.617368485,1753.069206,11.29732951,1684.690025,18.47661242,619.2834589,485.3001668,0.281659,0.1408295,0.000862,0.000019,,-1.36,2.469
340-17,Normington et al 2016,IC13CJE002,-23.9979346,135.36132,Heavitree,3.926578871,1.237026833,0.104879782,0.826489792,1712.207859,15.2017043,1440.938668,17.26617668,835.485922,573.2556604,,,,,,,
340-18,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.143257957,1.180878145,0.108903953,0.843206129,1781.162239,15.37628358,1780.583545,20.64712794,165.4961398,263.5207762,0.2818,0.1409,0.0009057,0.0000093,,4.22,2.135
340-2,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.26501256,1.100248039,0.105158041,0.790936274,1717.079822,14.53884203,1722.362716,18.55153863,123.3764715,116.5284075,0.281654,0.140827,0.0003795,0.0000051,,-1.77,2.468
340-20,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.00937077,1.390494872,0.113172513,0.501890133,1850.972275,9.074384397,1849.305664,25.28858855,353.9358789,425.79106,0.28155,0.140775,0.001216,0.000025,,-3.5,2.681
340-21,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.411291238,1.183169187,0.10879644,0.710045923,1779.360891,12.95092414,1644.214893,18.95012168,241.7271832,173.3536577,0.28163,0.140815,0.001265,0.000022,,-2.29,2.549
340-23,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,1.573964137,1.166656341,0.243618155,0.506135351,3143.760147,8.039433373,3170.667598,53.34025376,123.4202089,177.3979707,0.28128,0.14064,0.001599,0.000014,,14.82,2.489
340-24,Normington et al 2016,IC13CJE002,-23.9979346,135.36132,Heavitree,3.780818869,1.254617915,0.107662239,0.482729547,1760.223706,8.825687953,1489.94205,18.0864387,420.9153122,688.7581496,,,,,,,
340-25,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.234298463,1.280009303,0.106331702,0.522537145,1737.455885,9.580651641,1736.614781,21.71481962,309.2002517,408.3615863,0.28194,0.14097,0.001517,0.000063,,7.51,1.89
340-26,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.472136005,1.832233716,0.104966602,0.996085652,1713.729664,18.31758433,1623.206156,28.92710248,390.1945294,330.8320735,0.282,0.141,0.00413,0.0002,,6.11,1.961
340-27,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.192327285,1.215388814,0.10697226,1.065539306,1748.460376,19.50968735,1756.685321,20.98594442,98.7421037,101.2656594,0.28175,0.140875,0.000759,0.0000044,,1.89,2.258
340-28,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.493614779,1.132374331,0.100299553,0.779034139,1629.644843,14.48048438,1622.012993,17.88276865,115.946335,190.459061,0.28179,0.140895,0.001096,0.000016,,0.31,2.268
340-30,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.533496874,1.144887089,0.097096741,0.941566857,1569.083993,17.64002225,1606.482399,17.95640421,260.310674,179.4312059,0.28203,0.141015,0.001784,0.000018,,6.78,1.808
340-31,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,5.343715539,1.103702698,0.076132195,0.797788654,1098.548857,15.96317307,1105.840059,11.78776367,72.89364891,219.8121043,0.28243,0.141215,0.001633,0.000051,,11.2,1.167
340-32,Normington et al 2019,IC13CJE002,-23.9979346,135.36132,Heavitree,3.217869219,1.317204007,0.106765774,0.648387091,1744.921897,11.87700583,1744.416712,22.46857662,260.660669,346.7076305,0.28171,0.140855,0.001136,0.000024,,-0.05,2.38
