Analysis,Reference,Sample_number,Latitude,Longitude,Formation,Final207_235,Final207_235_Prop2SE,Final206_238,Final206_238_Prop2SE,ErrorCorrelation_6_38vs7_35,U238Pb206,U238Pb206_error_2s_abs,Pb207Pb206,Pb207Pb206_error_2s_abs,ErrorCorrelation_38_6vs7_6,FinalAge207_235,FinalAge207_235_Prop2SE,U238Pb206_age,U238Pb206_age_error_2s,FinalAge207_206,Pb207Pb206_age_error_2s,Approx_U_PPM,Approx_Th_PPM,Approx_Pb_PPM,Final_U_Th_Ratio,Si,P,Ti_ppm_m47,Ti,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Hg202_CPS,Pb_ppm_m204,Pb_ppm_m206,Pb_ppm_m207,Pb_ppm_m208,Th,U,Hf176Hf177,Hf176Hf177_error_2s,Lu176Hf177,U/Pb AGE,Hf Chur (t),Hf DM (t),Hf NC(t),Hfi,epsilon,2s,T(DM)_crustal,T(NC)_crustal
MK4_HQ_06_88,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.238,0.13,0.2558,0.005,0.59816,3.909304,0.07641329,0.0903,0.0031,0.16671,1463,32,1468,26,1433,62,232.8,232,1498,0.987,134800,223,676,6.1,760,0.048,21.42,0.117,2.14,3.28,1.216,14.54,4.78,56,22.86,114.9,27.4,298.8,69.3,8450,131,2.19,228.5,22.63,30.2,223.3,230.1,,,,,,,,,,,,
MK4_HQ_06_89,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.697,0.15,0.2646,0.0069,0.60876,3.779289,0.0985529,0.099,0.0037,0.31686,1568,34,1512,35,1600,69,270.8,265,1660,1.018,148900,446,15800,15600,1426,6.6,49.7,1.66,8.1,6.18,1.35,27.3,9.27,120.6,47.3,227.4,49,489,96.2,9910,120,Below LOD,293,32.1,34.7,277,290,,,,,,,,,,,,
MK4_HQ_06_9,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,4.206,0.17,0.2932,0.0067,0.55228,3.410641,0.07793757,0.1029,0.0036,0.36726,1672,34,1656,33,1669,65,226.3,89.1,698,2.521,138000,116,691,2.33,318,Below LOD,16.53,0.0156,0.198,0.37,0.136,3.89,1.455,21.08,9.06,52.2,13.44,154.8,36.14,11280,149,Below LOD,248.8,27.91,13.12,85.5,224,,,,,,,,,,,,
MK4_HQ_06_90,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.74,0.18,0.2734,0.0066,0.41702,3.657644,0.0882972,0.0996,0.004,0.29383,1581,37,1557,34,1628,75,85,95.8,649,0.876,131600,839,677,Below LOD,1360,Below LOD,90.2,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,Below LOD,126.4,Below LOD,207.7,Below LOD,378.1,73.8,9370,71,Below LOD,94.1,Below LOD,Below LOD,98.7,91.2,,,,,,,,,,,,
MK4_HQ_06_91,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,4.77,0.2,0.3196,0.0082,0.45486,3.128911,0.0802787,0.1075,0.0038,0.40201,1779,37,1786,40,1758,67,213.6,161.4,1207,1.311,133600,189,671,8.4,632,Below LOD,26.33,Below LOD,0.81,2.44,0.22,12.12,4.32,53.7,19.75,93.5,19.55,190.1,36.44,10910,120,Below LOD,258.2,30.79,24.78,157,217,,,,,,,,,,,,
MK4_HQ_06_92,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.933,0.17,0.2814,0.0072,0.31239,3.55366,0.09092521,0.1001,0.0038,0.51359,1620,34,1597,36,1614,71,182.4,163.3,1177,1.094,136900,430,681,6,1146,0.46,24.53,0.276,2.7,4.12,1.05,20.7,7.2,91.1,36.2,178.7,37.58,393,78.6,9120,55,Below LOD,207,22.63,25,163.9,188.6,,,,,,,,,,,,
MK4_HQ_06_93,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.092,0.12,0.2472,0.0054,0.46525,4.045307,0.08836837,0.0893,0.0031,0.28362,1428,31,1423,28,1402,66,231.5,293.1,1729,0.793,136900,340,683,10.2,1753,0.34,65.3,0.447,6.19,9.87,2.82,43.5,13.55,160.1,58,265.3,54.9,513,97,9230,73,Below LOD,228.1,22.7,36.7,295.3,243.5,0.281899662,3.36E-05,0.001068612,1423,0.281881353,0.282217261,0.282141398,0.281870923,-0.3700322,1.176613892,2.177725921,2.013313618
MK4_HQ_06_94,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,4.268,0.17,0.3003,0.0068,0.61714,3.330003,0.07540467,0.1011,0.0034,0.31322,1685,33,1692,34,1649,63,412,245.6,1762,1.666,134700,190,682,4.82,747,Below LOD,20.43,0.032,0.81,2.03,0.216,13.51,4.88,61.6,24.46,120.7,24.65,244.3,47.2,11170,53,Below LOD,467,51.9,35.62,230,408.3,0.281593866,3.04E-05,0.000610382,1692,0.281707819,0.282018936,0.281946171,0.281574298,-4.739700082,1.065062893,2.65129867,2.495480098
MK4_HQ_06_95,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.95,0.16,0.2824,0.0069,0.76611,3.541076,0.08652064,0.0997,0.0034,0.042319,1620,34,1607,36,1624,60,288.1,189.4,1326,1.535,134900,278,681,22.5,888,0.095,26.68,0.06,0.8,2.28,0.322,14.31,5.44,72.3,29.62,143.2,31.89,321.8,63.9,10600,81,Below LOD,307,34.4,26.7,181.7,290.7,0.281906234,3.26E-05,0.001051126,1607,0.281762747,0.282081711,0.282007966,0.281874255,3.957487213,1.141064797,2.057864905,1.898028012
MK4_HQ_06_96,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,3.788,0.14,0.2761,0.0058,0.50334,3.621876,0.07608432,0.0984,0.0032,0.43585,1588,30,1574,29,1597,60,224.2,283,1797,0.811,135100,566,668,8,1883,0.108,33.2,0.296,4.36,7.48,1.85,37.9,13.01,162.1,61.3,283.6,58.9,561,111.3,9190,93,Below LOD,240.9,26.4,37.3,273,228.2,0.282004609,4.50E-05,0.001647282,1574,0.281784049,0.282106056,0.28203193,0.281955536,6.085759673,1.573436266,1.901825493,1.740633292
MK4_HQ_06_97,Blades et al 2021,HQ-06,-23.7771,133.0739,Heavitree,4.57,0.2,0.3145,0.0081,0.46766,3.17965,0.08189242,0.1039,0.0041,0.37738,1743,35,1766,39,1698,71,214.4,148.3,1201,1.474,139500,141,664,3.67,518,0.0203,8.59,0.069,1.61,2.72,0.119,13.2,4.1,47.4,17.56,74.5,14.79,133.1,24.44,10960,85,2.3,268,30.2,24.9,145.3,223.7,0.281668301,2.90E-05,0.000869681,1766,0.281659928,0.281964203,0.281892294,0.28163918,-0.736630629,1.015640008,2.467366587,2.312981933
