Analysis,Reference,Sample_number,Latitude,Longitude,Formation,U238Pb206,U238Pb206_error_1s_rel,Pb207Pb206,Pb207Pb206_error_1s_rel,Pb207Pb206_age,Pb207Pb206_age_error_1s,U238Pb206_age,U238Pb206_age_error_1s,Th,U,Hf176Hf177,Hf176Hf177_error_1s,Lu176Lu177,Lu176Lu177_error_2s,Yb176Hf177,epsilon_Hf,TDM
81.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.379742756,1.660004895,0.105551856,1.13848514,1723.947943,20.90935699,,,58.00755325,71.72143162,0.28172,0.000025,0.000722,0.00001,,0.326201166,2.339648789
83.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.206243269,1.397146317,0.10580898,0.70614914,1728.415192,12.96182689,,,144.2235053,129.6039616,0.28164,0.0000275,0.000329,0.00000055,,13.96494701,2.002971382
84.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,2.125015457,1.292188292,0.157704795,0.470021585,2431.200015,7.966843026,,,44.50325932,188.7570465,0.281213,0.00002375,0.0002737,0.00000075,,-17.02622016,3.439949836
85.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.313270653,1.83854277,0.10587534,1.427620996,1729.565959,26.20113023,,,40.75600859,57.77586689,0.28166,0.000025,0.0006695,0.0000014,,-39.32496853,3.471250487
9.1.1,Normington et al 2019,IC12JAW1801,-23.7715,135.5461,Heavitree,3.226141692,1.251244752,0.106199004,0.555964925,1735.166003,10.19646768,,,120.5185796,200.1050785,0.28166,0.000025,0.0007326,0.00000135,,-1.567106712,2.468945223
10.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,3.501014529,1.213057753,0.100350514,0.534492121,1630.588972,9.933791162,,,301.2578934,260.3295802,0.28164,0.000025,0.001112,0.0000065,,-5.011568543,2.607356718
11.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,3.475140672,1.201332742,0.100382279,0.520594894,1631.177157,9.674770782,,,151.9846108,246.0757546,0.28167,0.0000275,0.0005689,0.00000095,,-3.338488372,2.501639727
12.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,2.798476207,1.191254385,0.11977394,0.419952902,1952.850351,7.501169309,,,127.951721,255.5094132,0.28157,0.0000275,0.0007027,0.0000035,,0.120423172,2.528509466
13.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,5.025664913,1.699386205,0.080580325,1.683025164,1211.228042,33.12456901,,,0.220435887,58.37680829,0.282115,0.00001775,0.0004328,0.0000046,,3.248604638,1.758424072
14.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,3.029472792,1.259628627,0.115784213,0.529894739,1892.120291,9.533374183,,,71.47935302,186.2553187,0.28169,0.0000275,0.0009223,0.000001,,2.74708227,2.314028075
16.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,2.185548385,1.120619451,0.161051202,0.477075249,2466.726499,8.057375108,,,332.7859325,424.6016634,0.28113,0.0000275,0.000981,0.0000065,,-4.450763208,3.213264961
17.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,3.469398737,1.470177686,0.099735509,0.853234314,1619.155254,15.88120269,,,88.69924846,92.61249307,0.28165,0.00003,0.0008824,0.0000032,,-4.657012768,2.576077131
18.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,3.448912988,1.465952059,0.099886125,1.502578152,1621.963454,27.95724896,,,115.4579544,89.11650738,0.28172,0.0000275,0.000981,0.0000075,,-2.218151765,2.423341509
19.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,3.189256662,1.255616121,0.108419473,0.574553915,1773.027626,10.48782602,,,85.36979442,191.8616156,0.28161,0.000025,0.0008602,0.0000015,,-2.653731588,2.567181018
2.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,2.48606571,1.244470081,0.135911759,0.72743902,2175.742621,12.66808514,,,137.9130959,212.239441,0.281442,0.0000235,0.0004916,0.0000006,,0.406099442,2.665320466
20.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,3.617261684,1.25040499,0.098607723,0.619687709,1597.959171,11.56597778,,,188.8772012,188.2761967,0.28165,0.0000275,0.001723,0.0000075,,-6.026462714,2.64654179
21.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,2.152540106,1.274605456,0.168613356,0.424214245,2543.925376,7.109795151,,,147.0672595,169.5101891,0.28126,0.0000375,0.001404,0.0000085,,1.169958115,2.913874492
22.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,2.483482507,1.234186043,0.138694071,0.42086299,2210.964824,7.300974347,,,125.9200656,206.0760408,0.28142,0.0000325,0.0007551,0.00000295,,0.490977797,2.702662883
23.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,3.484917939,1.198692679,0.100567055,0.501024032,1634.594078,9.3069654,,,254.4865241,251.7854883,0.28179,0.000025,0.001277,0.000005,,0.218781294,2.277829892
24.1.1,Normington et al 2019,IC12JAW1819,-23.608,135.2456,Heavitree,3.453976757,1.376408953,0.098778798,0.840936698,1601.193736,15.68881179,,,147.8134513,118.5658273,0.28169,0.0000275,0.0009282,0.0000011,,-3.682402465,2.500411867
